Category,Merchant Name,Amount
,,
Dining Out,CAVA GRILL THE DRAG      ,$20.72 
Dining Out,ARAMARK SAC STARBUCKS    ,$5.14 
Dining Out,TACO BELL #032513        ,$5.40 
Dining Out,GONG CHA DOBIE AUSTIN    ,$4.60 
Dining Out,CAVA GRILL THE DRAG      ,$10.36 
Travel,LYFT   *RIDE FRI 6PM     ,$2.64 
Groceries,SQ *TEJIS                ,$8.36 
Utilities,Spotify USA              ,$5.40 
Dining Out,MONKEYNEST COFFEE        ,$6.01 
Dining Out,PLUCKERS -RIO GRANDE-RET ,$8.00 
Dining Out,IHOP 1359     00013599   ,$11.00 
Dining Out,SQ *SPACE 24 TWENTY      ,$5.17 
Dining Out,CABO BOBS #102           ,$7.03 
Dining Out,CUVEE COFFEE BAR (AUSTIN),$6.86 
Dining Out,24 DINER                 ,$16.00 
Dining Out,HALALBROSCORPORATION_2   ,$8.62 
Payments and Fees,INTERNET PMT-THANK YOU   ,($561.96)
Entertainment,AMC BARTON CREEK #0802   ,$5.18 
Groceries,SQ *TINY PIES - SOU      ,$4.50 
Clothing,HOMEGOODS #503           ,$24.71 
Groceries,SQ *SUMMERMOON           ,$6.00 
Recreation,AUSTIN BOULDERING PROJ   ,$19.49 
Dining Out,TST* SA-TEN COFFEE & EATS,$5.41 
Miscellaneous,TEXAS STATE PARKS        ,$35.00 
Dining Out,OLD GERMAN BAKERY AND    ,$15.00 
Miscellaneous,SQ *CLEAR RIVER ICE CREAM,$6.13 
Dining Out,ALAMO S LAMAR REST       ,$8.63 
Dining Out,TST* KERBEY LANE CAFE - S,$9.00 
Entertainment,AMZN Mktp US*M29FA72F2   ,$71.48 
Groceries,SQ *SUMMERMOON           ,$6.50 
Groceries,CENTRAL MARKET #420      ,$5.40 
Utilities,Spotify USA              ,$5.40 
Entertainment,Amazon.com*M28EX47K1     ,$25.50 
Entertainment,AMZN Mktp US*M241Y37F1   ,$5.40 
Entertainment,AMZN Mktp US*M27CC47X1   ,$21.64 
Entertainment,AMZN Mktp US*M25MM77C0   ,$29.99 
Clothing,WWW.REDBUBBLE.COM        ,$49.96 
Entertainment,AMZN Mktp US*M26GJ7XW2   ,$20.97 
Subscriptions & Memberships,Amazon Prime             ,$63.87 
Entertainment,AMZN Mktp US*M26WB2GU2   ,$44.59 
Entertainment,Amazon.com*M243E01G2     ,$50.87 
Dining Out,OLIVE GARDEN 0021044     ,$5.00 
Dining Out,MONKEYNEST COFFEE        ,$5.36 
Payments and Fees,INTERNET PMT-THANK YOU   ,($284.72)
Dining Out,ELIZABETH ST CAFE        ,$9.66 
Dining Out,SQ *TEA HAUS             ,$6.03 
Dining Out,ARPEGGIO GRILL           ,$7.65 
Groceries,SNOWY VILLAGE            ,$14.50 
Entertainment,AMZN Mktp US*M28XE61Y1   ,$20.98 
Dining Out,CAVA GRILL THE DRAG      ,$10.36 
Dining Out,SQ *COFFEEPEOPLE         ,$3.75 
Travel,LYFT   *RIDE TUE 11PM    ,$6.35 
Entertainment,AMZN Mktp US*M24ZO6LT2   ,$12.95 
Groceries,QUACKS 43RD STREET BAKERY,$7.00 
Entertainment,SQ *HI TUNES KARAOK      ,$10.83 
Travel,LYFT   *RIDE SUN 11PM    ,$10.68 
Dining Out,SQ *SPACE 24 TWENTY      ,$3.25 
Dining Out,SQ *SPACE 24 TWENTY      ,$5.20 
Dining Out,DD/BR #355895            ,$2.50 
Dining Out,TORCHYS TACOS - 3 - GU   ,$3.79 
Dining Out,SQ *SPACE 24 TWENTY      ,$2.00 
Education,UT LIBRARIES LCS         ,$5.00 
Dining Out,ARAMARK UTA JAVA CITY PCL,$4.97 
Dining Out,THE PEACHED TORTILLA R   ,$11.00 
Dining Out,SQ *MERIT COFFEE - SEAHOL,$7.50 
Groceries,TRADER JOE'S #452 QPS    ,$10.84 
Dining Out,TX COFFEE TRADERS SCIENC ,$1.75 
Dining Out,SQ *TEA HAUS             ,$11.47 
Travel,LYFT   *RIDE THU 12AM    ,$3.65 
Dining Out,SQ *PATRIZI'S            ,$26.76 
Entertainment,SQ *O'S GSB CAFE         ,$3.79 
Dining Out,SQ *SPACE 24 TWENTY      ,$4.33 
Groceries,SQ *BENNU COFFEE         ,$4.87 
Dining Out,SQ *DONFOODTRUCK  LLC    ,$6.50 
Dining Out,SQ *SPACE 24 TWENTY      ,$2.27 
Dining Out,ARAMARK CHICK FIL A      ,$2.44 
Utilities,Spotify USA              ,$5.40 
Travel,LYFT   *RIDE SAT 8AM     ,$3.89 
